,palavra,doc|ocorrencia
447,ficar,"[(54, 1), (82, 1), (105, 1)]"
448,pedra,"[(54, 2), (82, 2), (105, 2)]"
449,pedreira,"[(54, 1), (82, 1), (105, 1)]"
450,superfaturada,"[(54, 1), (82, 1), (105, 1)]"
451,roudebrecht,"[(54, 1), (82, 1), (105, 1)]"
452,senador,"[(54, 1), (70, 1), (82, 1), (105, 1), (118, 1)]"
453,tasso,"[(54, 1), (82, 1), (105, 1)]"
454,jereissati,"[(54, 1), (82, 1), (105, 1)]"
455,prisões,"[(54, 1), (82, 1), (105, 1)]"
456,desmoralizando,"[(54, 1), (82, 1), (105, 1)]"
457,política,"[(54, 1), (82, 1), (105, 1)]"
458,razão,"[(54, 1), (82, 1), (105, 1)]"
459,democracia,"[(54, 1), (82, 1), (105, 1)]"
460,pode,"[(54, 1), (70, 1), (82, 1), (105, 1), (113, 1)]"
461,roubar,"[(54, 1), (82, 1), (105, 1)]"
